
Analysis:Shaft_Bending_Analysis, Loadset:LoadSet1
max_beam_bending, 0
max_beam_tensile, 0
max_beam_torsion, 0
max_beam_total, 0
max_disp_mag, 3.18385e-006, 3.30698e-017, -0.394, -0.127
max_disp_x, 5.88025e-008, 0.0832675, -0.0600115, -0.0958918
max_disp_y, 9.87192e-007, -0.000574127, -0.318323, -0.126999
max_disp_z, -3.04798e-006, 0.127, -0.394, -1.5553e-017
max_prin_mag, -480977, 0.0493338, 0.001, -0.114853
max_rot_mag, 0, -0.0589673, 0, 0.110217
max_rot_x, 0, -0.0699789, 3.41498, 0.0584882
max_rot_y, 0, -0.0699789, 3.41498, 0.0584882
max_rot_z, 0, -0.0699789, 3.41498, 0.0584882
max_stress_prin, 438866, -0.0758024, 0.001, 0.0993931
max_stress_vm, 326872, 0.0493338, 0.001, -0.114853
max_stress_xx, -188155, 0.0493338, 0.001, -0.114853
max_stress_xy, -83639.2, -0.0758024, 0.001, 0.0993931
max_stress_xz, -32074.8, -0.0758024, 0.001, 0.0993931
max_stress_yy, -361237, 0.0493338, 0.001, -0.114853
max_stress_yz, 156602, 0.0493338, 0.001, -0.114853
max_stress_zz, -246247, 0.0493338, 0.001, -0.114853
min_stress_prin, -480977, 0.0493338, 0.001, -0.114853
strain_energy, 0.000145221
